  Title=2D heat conduction problem
  Variables="x","y","T"
  Zone I=202       J=202      F=Point
         0.00000             0.00000              97.80488
         0.00000             0.00250             100.00000
         0.00000             0.00750             100.00000
         0.00000             0.01250             100.00000
         0.00000             0.01750             100.00000
         0.00000             0.02250             100.00000
         0.00000             0.02750             100.00000
         0.00000             0.03250             100.00000
         0.00000             0.03750             100.00000
         0.00000             0.04250             100.00000
         0.00000             0.04750             100.00000
         0.00000             0.05250             100.00000
         0.00000             0.05750             100.00000
         0.00000             0.06250             100.00000
         0.00000             0.06750             100.00000
         0.00000             0.07250             100.00000
         0.00000             0.07750             100.00000
         0.00000             0.08250             100.00000
         0.00000             0.08750             100.00000
         0.00000             0.09250             100.00000
         0.00000             0.09750             100.00000
         0.00000             0.10250             100.00000
         0.00000             0.10750             100.00000
         0.00000             0.11250             100.00000
         0.00000             0.11750             100.00000
         0.00000             0.12250             100.00000
         0.00000             0.12750             100.00000
         0.00000             0.13250             100.00000
         0.00000             0.13750             100.00000
         0.00000             0.14250             100.00000
         0.00000             0.14750             100.00000
         0.00000             0.15250             100.00000
         0.00000             0.15750             100.00000
         0.00000             0.16250             100.00000
         0.00000             0.16750             100.00000
         0.00000             0.17250             100.00000
         0.00000             0.17750             100.00000
         0.00000             0.18250             100.00000
         0.00000             0.18750             100.00000
         0.00000             0.19250             100.00000
         0.00000             0.19750             100.00000
         0.00000             0.20250             100.00000
         0.00000             0.20750             100.00000
         0.00000             0.21250             100.00000
         0.00000             0.21750             100.00000
         0.00000             0.22250             100.00000
         0.00000             0.22750             100.00000
         0.00000             0.23250             100.00000
         0.00000             0.23750             100.00000
         0.00000             0.24250             100.00000
         0.00000             0.24750             100.00000
         0.00000             0.25250             100.00000
         0.00000             0.25750             100.00000
         0.00000             0.26250             100.00000
         0.00000             0.26750             100.00000
         0.00000             0.27250             100.00000
         0.00000             0.27750             100.00000
         0.00000             0.28250             100.00000
         0.00000             0.28750             100.00000
         0.00000             0.29250             100.00000
         0.00000             0.29750             100.00000
         0.00000             0.30250             100.00000
         0.00000             0.30750             100.00000
         0.00000             0.31250             100.00000
         0.00000             0.31750             100.00000
         0.00000             0.32250             100.00000
         0.00000             0.32750             100.00000
         0.00000             0.33250             100.00000
         0.00000             0.33750             100.00000
         0.00000             0.34250             100.00000
         0.00000             0.34750             100.00000
         0.00000             0.35250             100.00000
         0.00000             0.35750             100.00000
         0.00000             0.36250             100.00000
         0.00000             0.36750             100.00000
         0.00000             0.37250             100.00000
         0.00000             0.37750             100.00000
         0.00000             0.38250             100.00000
         0.00000             0.38750             100.00000
         0.00000             0.39250             100.00000
         0.00000             0.39750             100.00000
         0.00000             0.40250             100.00000
         0.00000             0.40750             100.00000
         0.00000             0.41250             100.00000
         0.00000             0.41750             100.00000
         0.00000             0.42250             100.00000
         0.00000             0.42750             100.00000
         0.00000             0.43250             100.00000
         0.00000             0.43750             100.00000
         0.00000             0.44250             100.00000
         0.00000             0.44750             100.00000
         0.00000             0.45250             100.00000
         0.00000             0.45750             100.00000
         0.00000             0.46250             100.00000
         0.00000             0.46750             100.00000
         0.00000             0.47250             100.00000
         0.00000             0.47750             100.00000
         0.00000             0.48250             100.00000
         0.00000             0.48750             100.00000
         0.00000             0.49250             100.00000
         0.00000             0.49750             100.00000
         0.00000             0.50250             100.00000
         0.00000             0.50750             100.00000
         0.00000             0.51250             100.00000
         0.00000             0.51750             100.00000
         0.00000             0.52250             100.00000
         0.00000             0.52750             100.00000
         0.00000             0.53250             100.00000
         0.00000             0.53750             100.00000
         0.00000             0.54250             100.00000
         0.00000             0.54750             100.00000
         0.00000             0.55250             100.00000
         0.00000             0.55750             100.00000
         0.00000             0.56250             100.00000
         0.00000             0.56750             100.00000
         0.00000             0.57250             100.00000
         0.00000             0.57750             100.00000
         0.00000             0.58250             100.00000
         0.00000             0.58750             100.00000
         0.00000             0.59250             100.00000
         0.00000             0.59750             100.00000
         0.00000             0.60250             100.00000
         0.00000             0.60750             100.00000
         0.00000             0.61250             100.00000
         0.00000             0.61750             100.00000
         0.00000             0.62250             100.00000
         0.00000             0.62750             100.00000
         0.00000             0.63250             100.00000
         0.00000             0.63750             100.00000
         0.00000             0.64250             100.00000
         0.00000             0.64750             100.00000
         0.00000             0.65250             100.00000
         0.00000             0.65750             100.00000
         0.00000             0.66250             100.00000
         0.00000             0.66750             100.00000
         0.00000             0.67250             100.00000
         0.00000             0.67750             100.00000
         0.00000             0.68250             100.00000
         0.00000             0.68750             100.00000
         0.00000             0.69250             100.00000
         0.00000             0.69750             100.00000
         0.00000             0.70250             100.00000
         0.00000             0.70750             100.00000
         0.00000             0.71250             100.00000
         0.00000             0.71750             100.00000
         0.00000             0.72250             100.00000
         0.00000             0.72750             100.00000
         0.00000             0.73250             100.00000
         0.00000             0.73750             100.00000
         0.00000             0.74250             100.00000
         0.00000             0.74750             100.00000
         0.00000             0.75250             100.00000
         0.00000             0.75750             100.00000
         0.00000             0.76250             100.00000
